staff_id,fname,lname,email,phone,role,password,salary
1,Cody,Moore,psanford@example.org,2866568841,Manager,JmFCwJON,11991.84
2,Linda,Mathews,pattersonjulia@example.org,001-971-463-4264x5319,Manager,XDe205w3,12742.04
3,Sarah,Miller,millssuzanne@example.org,349.609.4648x7747,Manager,F58uORze,11362.45
4,Manuel,Black,reyesandrew@example.com,5078190064,Librarian,BY3kp1MG,13097.57
5,Eric,Schroeder,steven27@example.org,903-403-9941,Librarian,Wkms5P8z,8370.96
6,Samuel,Martin,freemankimberly@example.net,+1-466-773-0594x76239,Technician,x2ax87xB,8185.34
7,Emily,Singleton,huffmanpatrick@example.net,001-820-703-7772,Assistant,qsLnD3Kr,10610.4
8,Sean,Green,diana72@example.net,(347)240-5063,Technician,yWxnzsAr,5564.72
9,Angela,Johnson,robert41@example.org,271.998.1318x099,Librarian,D6h9fMG2,11064.14
10,Amanda,Brown,parsonsmegan@example.net,+1-379-385-0047x53347,Assistant,e10jT8qO,10707.32
11,Jacqueline,Williams,nancy18@example.org,913-505-0523,Assistant,774jNlTY,5961.86
12,Margaret,Frazier,bridgetriley@example.org,(608)997-9194x5604,Librarian,yF4AWEOe,6698.18
13,Brittany,Adams,cdavis@example.org,707-954-0403,Librarian,ofT78kAF,5839.89
14,Richard,Le,devin24@example.net,926-517-3832x755,Technician,aFEjMHld,11372.46
15,Teresa,White,wrightjason@example.org,756-698-4517x20146,Assistant,nPZuYgYI,9850.88
16,Kristin,Fuller,michael35@example.org,+1-338-749-1917,Technician,JGrQZOeD,10098.88
17,Alex,Palmer,kyle75@example.com,831-250-8161x83552,Technician,dZj9Fbdf,8718.68
18,Jennifer,Bond,megan94@example.com,789.661.2766x257,Librarian,SkRenWN4,10343.48
19,Derek,Carr,dbaxter@example.net,(655)869-5454x5301,Librarian,hIPJTNN9,10872.49
20,Kevin,Vance,mckeeaaron@example.net,3084583530,Assistant,2LVatJ9e,10807.62
21,Jared,Rivera,dsmith@example.org,836-639-5403x80576,Librarian,mk1mSV40,13734.73
22,Danielle,Carter,christopher53@example.com,414.548.2070,Assistant,VTBT3oM2,14643.72
23,Shawn,Mccarty,amy92@example.com,001-225-466-5995,Assistant,tRxH9m4I,8302.87
24,Nicole,Gutierrez,mcmahonjason@example.org,(833)955-7611,Librarian,MslTmr7r,11914.82
25,Andrea,Lewis,randy96@example.com,001-953-789-6741x4765,Librarian,7wh5Qo0x,5716.29
26,Brittney,Duke,pamela27@example.com,230-881-3118,Technician,dyHnDe3B,10833.34
27,Ashley,Berg,richmondkelsey@example.net,001-283-357-7406x84244,Technician,1fF5w1f8,13871.93
28,Elizabeth,Davenport,jeffreyhawkins@example.net,507.539.0090x3417,Technician,3qgeMi8b,6016.62
29,Vanessa,Hayes,bellnicolas@example.com,795.873.4810,Librarian,mSyzhjKl,14276.8
30,Tyler,Martinez,andrew95@example.org,(874)523-1972x255,Assistant,w1soB7G6,9423.38
31,Sandra,Moyer,elizabeth14@example.org,290.509.1146,Technician,bZREFkOE,6827.61
32,Andrew,Murillo,dillondalton@example.org,+1-305-413-4662x28183,Technician,hJlccOJf,6823.61
33,Dale,Rodriguez,holly40@example.org,001-988-427-3813x44472,Technician,TeNuKzWQ,10180.34
34,Sarah,Price,urussell@example.net,+1-459-767-5827x23131,Librarian,YXchymX1,6444.19
35,Russell,Wallace,qwalsh@example.net,273.921.3336,Assistant,46Hi7xy5,8434.89
36,James,Bowers,baileyjames@example.net,939.715.3521,Technician,VgFKggXx,12483.3
37,Heather,Powell,nathanwalters@example.net,9927444371,Librarian,ZwRNwlpT,14392.35
38,Jackie,Perez,jessicafleming@example.org,827.349.7503,Assistant,2I0jYeit,8630.58
39,Amanda,Fowler,mary24@example.com,(874)750-6738x015,Assistant,CPDrdu6p,8829.86
40,Dylan,Vargas,msaunders@example.com,+1-672-445-9829x8118,Librarian,yGOYBvhR,11511.51
41,Michael,Bailey,edward52@example.org,6008353129,Librarian,QEQA5iCN,11100.5
42,Monique,Smith,amanda34@example.org,(877)285-5155x165,Technician,v1xTKJCj,10248.07
43,Jeremy,Harris,mcgeepatricia@example.com,001-202-579-4376x89186,Assistant,LYDoQcUj,8405.45
44,Christina,Grimes,jasmineward@example.org,4546282220,Librarian,7lA4LH2E,6863.52
45,Donna,Parker,stevennichols@example.net,597-754-0126x7140,Librarian,H4Qn8mp0,9425.55
46,Kimberly,Sweeney,shannonlee@example.com,5683018418,Assistant,pkv7vK3C,14993.38
47,Jonathan,Smith,mdaniels@example.org,470-559-9337,Assistant,sKCy5V69,11309.69
48,Christopher,Ramirez,campbelljacob@example.org,(953)299-8538x820,Librarian,z82F50r9,6582.91
49,Roberto,Guerra,donald35@example.com,766.566.9022x6944,Librarian,kyFhdf1D,7371.67
50,Brian,Gonzalez,jrogers@example.com,286-737-7443x72626,Technician,jp9G69iY,6285.98
51,Timothy,Kramer,troberts@example.com,001-597-313-9682x3930,Assistant,WYVhUdzb,6310.46
52,Jennifer,Silva,frogers@example.net,9155086273,Librarian,quoVgwmO,8197.72
53,Kenneth,Cunningham,christopherturner@example.net,224-692-6489x85385,Assistant,VluuxVkC,6036.05
54,Virginia,Peterson,richard07@example.net,456.768.0441,Technician,03If46Uy,8458.78
55,Adam,Hoffman,ejacobs@example.org,(979)631-4574,Librarian,tHEShUYH,8624.9
56,Tyler,Roman,tonya79@example.net,9434871157,Technician,WGu825n6,7079.95
57,Jennifer,Jefferson,allenjeffrey@example.net,+1-678-208-1724,Assistant,nKpmLaMw,14359.36
58,John,Lewis,robertmurray@example.com,698.846.4950,Technician,hifHz8zN,12218.78
59,Benjamin,Wilkins,ppitts@example.net,266.478.3196x6698,Librarian,jbNxl6LZ,11370.81
60,Tyler,Mcneil,lewisvanessa@example.com,(781)954-3490,Technician,lAp7GfZe,7111.14
61,Frederick,Baker,peter52@example.org,496.601.2819,Librarian,bZoBNhKN,8536.9
62,Elizabeth,Graves,pooleadam@example.net,+1-321-767-8424x24189,Technician,0oNWJ3qB,8454.61
63,Hayley,Terrell,leeemily@example.org,857.233.4613,Librarian,relfMa3A,8648.65
64,Jill,Chase,dpayne@example.net,001-413-410-6765x4419,Technician,LIqcE4qd,5142.78
65,Bryce,Hall,johnmurray@example.org,(540)321-1859x52100,Librarian,SQF3HvCs,9485.4
66,Jason,Fisher,colemanjoshua@example.com,212.303.9160,Librarian,AYjaEG1R,9636.71
67,Rita,Haney,brenda27@example.com,652.656.1254,Librarian,f8SiJowK,10061.92
68,Curtis,Oliver,earljohnson@example.com,(583)742-9909,Librarian,PbdmHBpo,5630.46
69,Chris,Drake,michael66@example.com,+1-709-795-1184x1909,Technician,J7AgIpw7,7992.5
70,Thomas,Davis,nathan85@example.net,+1-440-696-4199x861,Technician,9ET3t8S5,14088.9
71,Stephen,Wilson,khamilton@example.org,494-787-9415x9403,Technician,TEnqSfnG,7059.55
72,Elizabeth,Gamble,davidjohn@example.net,4438078345,Technician,xO1kNeBL,8762.6
73,David,Gilmore,vnavarro@example.com,(514)349-1998x201,Librarian,T7RaiA86,14863.69
74,Kristi,Kennedy,aliciajones@example.net,+1-216-411-5888,Assistant,hXWIF1VG,13338.92
75,Phillip,Richardson,justin05@example.org,(922)805-1338x9084,Librarian,9Xantkqn,13476.22
76,Robert,Delacruz,daniel32@example.net,(648)862-9743x7764,Assistant,9b6nivUN,13184.24
77,Nicholas,Anderson,derekwright@example.org,520-734-7039,Technician,6QbI0MFt,12327.63
78,Amanda,Payne,april66@example.com,733-457-3948x292,Librarian,chqygkz2,13351.38
79,Angel,Fields,smithchristopher@example.org,001-947-704-1533x9433,Assistant,3rsPtkXY,13654.45
80,Alexa,Taylor,alexandrawhite@example.com,5243571361,Assistant,qwXsBy3W,13537.96
81,Jeremy,Wong,xlevy@example.org,872.209.0435x8375,Librarian,Wi2MzlOY,6816.24
82,Anna,Wilson,cochranchristopher@example.net,668-292-7803x3271,Librarian,kfVyS3Zf,14389.46
83,Sarah,Griffin,fthornton@example.com,001-741-474-0763x120,Librarian,P17umyX5,9816.76
84,James,Hoffman,carterjoshua@example.org,+1-306-423-9456x29742,Technician,j9dtt6Cm,9231.13
85,Ryan,Hunt,xhernandez@example.org,+1-902-574-8415x402,Technician,vVWmjWCg,11611.86
86,Lauren,Blake,wbush@example.com,+1-359-480-7053x3223,Assistant,gzqttlcm,7130.54
87,Anne,Stone,davisjoseph@example.com,534.504.3050x480,Assistant,FuioPmN1,8642.92
88,Christy,Wilson,lisa79@example.org,4654162703,Assistant,6oR92lAv,7049.9
89,Brittney,Hall,ahuynh@example.org,001-440-436-1990x9788,Technician,4OWPuad8,11490.81
90,Julia,Rhodes,rcarrillo@example.org,(388)955-4123x83133,Assistant,hE131Ugt,10127.88
91,Olivia,Baldwin,campbellyvonne@example.org,+1-374-920-2563x548,Assistant,FZFFWO4S,6822.55
92,Carolyn,Wang,dkim@example.com,(258)437-7976x71670,Technician,aaSfDz8W,14569.32
93,Natalie,Powers,bakerjoshua@example.com,+1-624-235-1132,Librarian,gTpkZVWg,6893.39
94,Emily,Wagner,dustinroberts@example.org,+1-850-330-7103x680,Librarian,1MrqtDcA,14526.24
95,Andrew,Thomas,william31@example.net,599.604.8752,Assistant,71ZM7l5n,12445.48
96,Lee,Washington,heather81@example.net,(322)861-0425x7596,Librarian,KVovFQCN,10453.64
97,Daniel,Wiley,loganwebster@example.com,(982)223-5612,Librarian,H3OmYe5r,10491.68
98,Heather,Velasquez,jamesrogers@example.com,001-772-202-3163x882,Assistant,AgU0ya0w,9017.23
99,Michael,Jones,suarezsavannah@example.org,3986409268,Technician,wm6fZcXk,6045.85
100,Robert,Romero,terry06@example.org,001-284-688-4758x5589,Assistant,Ko3e7TX4,8369.57
